title,authors,isbn13
Last of the Amazons,Steven Pressfield,9780553382044
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,9780446691437
Gita on the Green,Stephen J. Rosen/Steven Pressfield,9780826413017
Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,9780811701648
Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,9780140442755
Phaedrus,Plato/Robin Waterfield,9780192802774
Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,9780879756321
Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,9781890318239
On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,9780872207882
Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,9780801435300
Statesman,Plato/C.J. Rowe,9780872204621
Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,9780140449044
The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,9780140449082
The History (Great Minds),Herodotus/Henry Francis Cary,9780879757779
The History,Herodotus/Peter Grene,9780226327709
The Iliad,Homer/Robert Fagles/Bernard Knox,9780140275360
Iliad,Homer/Stanley Lombardo/Sheila Murnaghan,9780872203525
The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,9780147712554
